Latitude	Longitude	Status	ToiletURL	LastUpdateDate	Name	Address1	Town	Postcode
-29.73494	151.73441	Unverified	http://www.toiletmap.gov.au/toilet.aspx?id=00C9AF7B-C979-4F95-8179-ADA8C3522CE2&type=toilet	2008-10-09	Glen Innes Caravan Dump Point	"East Avenue, Lions Park"	Glen Innes	2370
-29.67336	152.92591	Unverified	http://www.toiletmap.gov.au/toilet.aspx?id=90454A4A-CDA9-4AB0-9A52-DC6023E28863&type=toilet	2008-10-09	Grafton Caravan Dump Point	"Greyhound Track, Cranworth Street"	Grafton	2460
-33.89731	148.15574	Unverified	http://www.toiletmap.gov.au/toilet.aspx?id=7DE92F01-E5BF-4858-A386-D556E508983E&type=toilet	2008-10-09	Grenfell Caravan Dump Point	"West St, Old Railway Station"	Grenfell	2810
-34.28824	146.03277	Unverified	http://www.toiletmap.gov.au/toilet.aspx?id=33D96B93-39E9-47D0-81DE-A7EA904441F3&type=toilet	2008-10-09	Griffith Caravan Dump Point	Kookora Street Willows Park toilet block	Griffith	2680
-32.35838	149.54631	Unverified	http://www.toiletmap.gov.au/toilet.aspx?id=1D7FB8E4-EBA2-4CB4-81BC-31193246C531&type=toilet	2008-10-09	Gulgong Caravan Dump Point	"Station St, Gulgong, in front of shire depot"	Gulgong	2852
-30.98819	150.26125	Unverified	http://www.toiletmap.gov.au/toilet.aspx?id=03AC8256-721A-43DE-AA85-63C64041943F&type=toilet	2008-10-09	Gunnedah Caravan Dump Point	South Street near Showgrounds main entrance	Gunnedah	2380
-34.4934	144.82658	Verified	http://www.toiletmap.gov.au/toilet.aspx?id=D38061CD-B94A-4FE6-8D2C-B541051A6D8C&type=toilet	2008-10-09	Hay Caravan Dump Point	"Showgrounds Road - towards the end, Rye Lane. 2 blocks from showground"	Hay	2711
-35.98676	146.63156	Unverified	http://www.toiletmap.gov.au/toilet.aspx?id=38F01340-9524-49F3-9FD4-E3E827931454&type=toilet	2008-10-09	Howlong Caravan Dump Point	Near toilet block Lowe Street Rec. Reserve	Howlong	2643
-29.773187	151.109062	Unverified	http://www.toiletmap.gov.au/toilet.aspx?id=7511BB90-3265-4D0F-8588-F9D1505BF414&type=toilet	2008-10-09	Inverell Caravan Dump Point	"Behind Tourist Information Centre, located in the main bridge in Campbell Street"	Inverell	2360
-35.356448	145.72928	Unverified	http://www.toiletmap.gov.au/toilet.aspx?id=DB4F7208-DFEC-437A-AA6F-9794F612272A&type=toilet	2008-10-09	Jerilderie Caravan Dump Point	Jerilderie NSW (GPS is town)	Jerilderie	2716
-36.415074	148.618871	Unverified	http://www.toiletmap.gov.au/toilet.aspx?id=1EAB2815-5AC3-44D0-9BBC-14E1A065302A&type=toilet	2008-10-09	Jindabyne Caravan Dump Point	Jindabyne NSW (GPS is town)	Jindabyne	2627
