ZIP	State	Town	Lat	Lon
70001	LA	METAIRIE	29.987138	-90.169513
70002	LA	METAIRIE	30.009843	-90.16303
70003	LA	METAIRIE	29.99746	-90.21457
70005	LA	METAIRIE	30.000476	-90.13314
70006	LA	METAIRIE	30.012885	-90.191483
70030	LA	DES ALLEMANDS	29.821993	-90.447049
70031	LA	AMA	29.943494	-90.292509
70032	LA	ARABI	29.961154	-89.996497
70036	LA	BARATARIA	29.717859	-90.126232
70037	LA	BELLE CHASSE	29.834514	-90.004177
70039	LA	BOUTTE	29.897319	-90.393396
70040	LA	BRAITHWAITE	29.673563	-89.885347
70041	LA	BURAS	29.341056	-89.47568
70043	LA	CHALMETTE	29.946611	-89.961137
70047	LA	NEW SARPY	29.96579	-90.373982
70049	LA	EDGARD	30.031863	-90.581678
70051	LA	GARYVILLE	30.05352	-90.620113
70052	LA	GRAMERCY	30.052711	-90.690182
70053	LA	GRETNA	29.910806	-90.053115
70056	LA	TERRYTOWN	29.892652	-90.029123
70057	LA	HAHNVILLE	30.000094	-90.488581
70058	LA	HARVEY	29.872535	-90.067259
70062	LA	KENNER	29.991203	-90.247901
70065	LA	KENNER	30.025164	-90.252175
70067	LA	LAFITTE	29.562194	-90.056633
70068	LA	LA PLACE	30.077718	-90.489544
70070	LA	LULING	29.925116	-90.369261
70071	LA	LUTCHER	30.044679	-90.70084
70072	LA	MARRERO	29.859756	-90.110462
70075	LA	MERAUX	29.933494	-89.921433
70079	LA	NORCO	30.005706	-90.419796
70080	LA	PARADIS	29.877033	-90.435246
70083	LA	PORT SULPHUR	29.470011	-89.68475
70084	LA	RESERVE	30.060255	-90.551773
70085	LA	SAINT BERNARD	29.861093	-89.836414
70086	LA	SAINT JAMES	30.027598	-90.860549
70087	LA	SAINT ROSE	29.958074	-90.312432
70090	LA	VACHERIE	29.969372	-90.709699
70091	LA	VENICE	29.261812	-89.347776
70092	LA	VIOLET	29.904347	-89.895992
70094	LA	BRIDGE CITY	29.914386	-90.181305
70112	LA	NEW ORLEANS	29.960484	-90.075301
70113	LA	NEW ORLEANS	29.940511	-90.084777
70114	LA	NEW ORLEANS	29.937934	-90.033126
70115	LA	NEW ORLEANS	29.928863	-90.1005
70116	LA	NEW ORLEANS	29.968608	-90.064614
70117	LA	NEW ORLEANS	29.970298	-90.03124
70118	LA	NEW ORLEANS	29.950352	-90.123598
70119	LA	NEW ORLEANS	29.974552	-90.085156
70121	LA	JEFFERSON	29.963071	-90.160953
70122	LA	NEW ORLEANS	30.005637	-90.064409
70123	LA	HARAHAN	29.953473	-90.210748
70124	LA	NEW ORLEANS	30.007081	-90.109384
70125	LA	NEW ORLEANS	29.951225	-90.102785
70126	LA	NEW ORLEANS	30.015341	-90.018913
70127	LA	NEW ORLEANS	30.033811	-89.980688
70128	LA	NEW ORLEANS	30.052691	-89.956421
70129	LA	NEW ORLEANS	30.047984	-89.906206
70130	LA	NEW ORLEANS	29.932438	-90.073949
70131	LA	NEW ORLEANS	29.916811	-89.996033
70301	LA	THIBODAUX	29.799213	-90.809605
70339	LA	PIERRE PART	29.95501	-91.200167
70340	LA	AMELIA	29.66046	-91.111105
70341	LA	BELLE ROSE	30.025955	-91.044351
70342	LA	BERWICK	29.698786	-91.205662
70343	LA	BOURG	29.548489	-90.60866
70344	LA	CHAUVIN	29.463401	-90.597952
70345	LA	CUT OFF	29.523188	-90.339298
70346	LA	DONALDSONVILLE	30.101799	-90.997025
70353	LA	DULAC	29.359814	-90.655655
70354	LA	GALLIANO	29.431125	-90.298054
70355	LA	GHEENS	29.707591	-90.484855
70356	LA	GIBSON	29.662522	-90.977637
70357	LA	GOLDEN MEADOW	29.382054	-90.263932
70358	LA	GRAND ISLE	29.22973	-90.008801
70359	LA	GRAY	29.69034	-90.78071
70360	LA	HOUMA	29.59433	-90.754808
70363	LA	HOUMA	29.560137	-90.691668
70364	LA	HOUMA	29.629887	-90.726801
70372	LA	LABADIEVILLE	29.834458	-90.961319
70374	LA	LOCKPORT	29.603493	-90.490614
70375	LA	MATHEWS	29.681982	-90.494914
70377	LA	MONTEGUT	29.474366	-90.543952
70380	LA	MORGAN CITY	29.723937	-91.116497
70390	LA	NAPOLEONVILLE	29.92884	-91.026608
70392	LA	PATTERSON	29.69671	-91.281231
70394	LA	RACELAND	29.717835	-90.599908
70395	LA	SCHRIEVER	29.712276	-90.851341
70397	LA	THERIOT	29.451587	-90.765146
70401	LA	HAMMOND	30.51908	-90.487856
70403	LA	HAMMOND	30.491054	-90.46972
70420	LA	ABITA SPRINGS	30.483696	-90.004072
70422	LA	AMITE	30.718208	-90.570493
70426	LA	ANGIE	30.922406	-89.856714
70427	LA	BOGALUSA	30.773303	-89.865329
70431	LA	BUSH	30.613393	-89.955664
70433	LA	COVINGTON	30.487606	-90.095933
70436	LA	FLUKER	30.812776	-90.52067
70437	LA	FOLSOM	30.61447	-90.187927
70438	LA	FRANKLINTON	30.857735	-90.115479
70441	LA	GREENSBURG	30.864693	-90.725561
70443	LA	INDEPENDENCE	30.635148	-90.527685
70444	LA	KENTWOOD	30.889215	-90.472829
70445	LA	LACOMBE	30.322027	-89.929744
70446	LA	LORANGER	30.588407	-90.356723
70447	LA	MADISONVILLE	30.428743	-90.177282
70448	LA	MANDEVILLE	30.386096	-90.076846
70449	LA	MAUREPAS	30.271587	-90.704255
70450	LA	MOUNT HERMON	30.953619	-90.276886
70452	LA	PEARL RIVER	30.394448	-89.77315
70453	LA	PINE GROVE	30.703202	-90.767235
70454	LA	PONCHATOULA	30.440644	-90.442247
70455	LA	ROBERT	30.506327	-90.335171
70456	LA	ROSELAND	30.771711	-90.524277
70458	LA	SLIDELL	30.278411	-89.771192
70460	LA	SLIDELL	30.291611	-89.812895
70461	LA	SLIDELL	30.272615	-89.729027
70462	LA	SPRINGFIELD	30.415738	-90.577479
70466	LA	TICKFAW	30.566849	-90.481997
70467	LA	VARNADO	30.982085	-89.7606
70501	LA	LAFAYETTE	30.236141	-92.008261
70503	LA	LAFAYETTE	30.184256	-92.049745
70506	LA	LAFAYETTE	30.207707	-92.065623
70507	LA	LAFAYETTE	30.281313	-92.015962
70508	LA	LAFAYETTE	30.158222	-92.023579
70510	LA	FORKED ISLAND	29.958828	-92.142655
70512	LA	ARNAUDVILLE	30.398054	-91.926285
70514	LA	BALDWIN	29.848784	-91.545783
70515	LA	BASILE	30.497787	-92.57357
70516	LA	BRANCH	30.328684	-92.334618
70517	LA	HENDERSON	30.274955	-91.905899
70518	LA	BROUSSARD	30.12189	-91.950171
70520	LA	CARENCRO	30.324433	-92.042265
70525	LA	CHURCH POINT	30.401287	-92.223954
70526	LA	CROWLEY	30.214753	-92.377709
70528	LA	DELCAMBRE	29.947414	-91.988938
70529	LA	DUSON	30.191216	-92.152455
70531	LA	EGAN	30.250966	-92.500226
70532	LA	ELTON	30.471496	-92.699614
70533	LA	ERATH	29.952237	-92.034266
70535	LA	EUNICE	30.51158	-92.398474
70537	LA	EVANGELINE	30.26829	-92.553244
70538	LA	FRANKLIN	29.785656	-91.502643
70542	LA	GUEYDAN	30.025541	-92.533779
70543	LA	IOTA	30.300081	-92.532201
70544	LA	JEANERETTE	29.90324	-91.654397
70546	LA	JENNINGS	30.22011	-92.657405
70548	LA	KAPLAN	29.977096	-92.302463
70549	LA	LAKE ARTHUR	30.09097	-92.682526
70552	LA	LOREAUVILLE	30.068276	-91.659571
70554	LA	MAMOU	30.649648	-92.419646
70555	LA	MAURICE	30.07215	-92.107035
70559	LA	MIDLAND	30.143437	-92.463153
70560	LA	NEW IBERIA	30.001027	-91.819959
70570	LA	OPELOUSAS	30.51442	-92.089668
70577	LA	PORT BARRE	30.547788	-91.928576
70578	LA	RAYNE	30.204508	-92.248592
70581	LA	ROANOKE	30.318167	-92.686973
70582	LA	SAINT MARTINVILL	30.208282	-91.825961
70583	LA	SCOTT	30.250401	-92.098079
